confidence,max_instances,mAP,F1,combined_score
0.2,3,0.23489919893178868,0.5933661445766031,0.4141326717541959
0.2,5,0.1761634297019191,0.5208661096879128,0.34851476969491596
0.2,7,0.15822624099885096,0.48151677579460617,0.31987150839672857
0.2,10,0.15009252621961686,0.45135066617597364,0.30072159619779526
0.3,3,0.241111901048249,0.6098515227274918,0.4254817118878704
0.3,5,0.188344054515026,0.5515563876301669,0.36995022107259645
0.3,7,0.17752842638986838,0.5202593930926771,0.34889390974127277
0.3,10,0.1714693283417024,0.4972040211782427,0.33433667475997253
0.4,3,0.2555749888583927,0.6259756813539994,0.44077533510619604
0.4,5,0.21105996460343748,0.5804116388269235,0.39573580171518047
0.4,7,0.20256878036279286,0.5563885932327914,0.3794786867977922
0.4,10,0.19843939649109446,0.5381158264673127,0.36827761147920357
0.5,3,0.2757162080107319,0.6389857228420531,0.45735096542639253
0.5,5,0.2344336158577171,0.6037597380208672,0.4190966769392922
0.5,7,0.22749905802522477,0.5849435501557412,0.40622130409048296
0.5,10,0.22434938505213126,0.5690501452643767,0.396699765158254
0.6,3,0.28727573086988595,0.6501932678287168,0.46873449934930134
0.6,5,0.2552989039795527,0.6229348842133267,0.43911689409643967
0.6,7,0.25065061001788846,0.6075886750049952,0.42911964251144186
0.6,10,0.24796309440032413,0.5933179658630636,0.4206405301316939
0.7,3,0.3212473917234958,0.6520690617071624,0.4866582267153291
0.7,5,0.2991742007514758,0.6321218847345487,0.46564804274301225
0.7,7,0.2971784909301991,0.619280205697518,0.45822934831385853
0.7,10,0.29641631756130116,0.6079451949703352,0.45218075626581816
0.8,3,0.3565757057549632,0.6398498175510312,0.4982127616529972
0.8,5,0.34029015379024186,0.6266358320249202,0.48346299290758105
0.8,7,0.34625737012324254,0.6190269926549371,0.4826421813890898
0.8,10,0.3396990561958197,0.613688070736088,0.4766935634659538
